#aktschritt 	 uEuler 	 vEuler 	 uRunge 	 vRunge
# a=0.01	 b=0.99	 u0=1	 v0=1
13.2	1.00961	0.994519	1.0052	0.9919
13.3	1.01102	0.992146	1.00588	0.990669
13.4	1.01233	0.989732	1.0065	0.989433
13.5	1.01353	0.987303	1.00704	0.988207
13.6	1.0146	0.984883	1.00752	0.987002
13.7	1.01552	0.982498	1.00792	0.98583
13.8	1.01629	0.980174	1.00824	0.984704
13.9	1.0169	0.977937	1.00847	0.983635
14	1.01734	0.975809	1.00862	0.982634
14.1	1.0176	0.973815	1.00867	0.98171
14.2	1.01768	0.971976	1.00864	0.980874
14.3	1.01758	0.970311	1.00853	0.980132
14.4	1.01729	0.968839	1.00832	0.979492
14.5	1.01682	0.967576	1.00804	0.97896
14.6	1.01618	0.966536	1.00767	0.978542
14.7	1.01537	0.965729	1.00723	0.97824
14.8	1.0144	0.965164	1.00671	0.978057
14.9	1.01327	0.964848	1.00613	0.977994
15	1.01201	0.964785	1.00549	0.978052
15.1	1.01062	0.964975	1.0048	0.978228
15.2	1.00912	0.965417	1.00406	0.978522
15.3	1.00751	0.966107	1.00329	0.978929
15.4	1.00583	0.967039	1.00248	0.979445
15.5	1.00408	0.968205	1.00166	0.980064
15.6	1.00229	0.969592	1.00082	0.980779
15.7	1.00046	0.971189	0.999974	0.981584
15.8	0.998623	0.972981	0.999133	0.98247
15.9	0.996791	0.97495	0.998303	0.983428
16	0.994982	0.97708	0.997493	0.984448
16.1	0.993214	0.97935	0.996711	0.98552
16.2	0.991503	0.98174	0.995963	0.986635
16.3	0.989865	0.984227	0.995258	0.98778
16.4	0.988316	0.98679	0.994601	0.988944
16.5	0.986871	0.989403	0.993998	0.990117
16.6	0.985544	0.992044	0.993456	0.991287
16.7	0.984346	0.994687	0.99298	0.992442
16.8	0.98329	0.997308	0.992573	0.993572
16.9	0.982387	0.999882	0.99224	0.994665
17	0.981645	1.00239	0.991983	0.995711
17.1	0.981073	1.00479	0.991806	0.9967
17.2	0.980678	1.00708	0.991709	0.997621
17.3	0.980464	1.00923	0.991694	0.998467
17.4	0.980435	1.01121	0.99176	0.999229
17.5	0.980595	1.01301	0.991907	0.999899
17.6	0.980942	1.0146	0.992134	1.00047
17.7	0.981478	1.01597	0.992438	1.00094
17.8	0.982198	1.0171	0.992817	1.0013
17.9	0.983099	1.01798	0.993267	1.00154
18	0.984176	1.01859	0.993783	1.00168
18.1	0.985419	1.01893	0.99436	1.00169
18.2	0.986821	1.01899	0.994994	1.00159
18.3	0.98837	1.01876	0.995677	1.00138
18.4	0.990053	1.01824	0.996403	1.00105
18.5	0.991856	1.01743	0.997165	1.0006
18.6	0.993762	1.01634	0.997956	1.00006
18.7	0.995756	1.01497	0.998766	0.999412
18.8	0.997818	1.01333	0.999589	0.998672
18.9	0.999927	1.01144	1.00042	0.997845
19	1.00206	1.00931	1.00124	0.99694
19.1	1.00421	1.00696	1.00205	0.995966
19.2	1.00633	1.00442	1.00284	0.994933
19.3	1.00841	1.0017	1.00359	0.993853
19.4	1.01044	0.998837	1.00432	0.992735
19.5	1.01237	0.995858	1.00499	0.991592
19.6	1.0142	0.992793	1.00562	0.990435
19.7	1.0159	0.989675	1.00619	0.989277
19.8	1.01745	0.986535	1.00669	0.988128
19.9	1.01883	0.983409	1.00713	0.987001
20	1.02002	0.98033	1.00749	0.985908
20.1	1.02102	0.977332	1.00777	0.984859
20.2	1.0218	0.974447	1.00798	0.983865
20.3	1.02236	0.971706	1.0081	0.982937
20.4	1.02269	0.969141	1.00814	0.982082
20.5	1.02279	0.966779	1.0081	0.981311
20.6	1.02264	0.964645	1.00798	0.980629
20.7	1.02226	0.962763	1.00778	0.980044
20.8	1.02164	0.961153	1.00749	0.979562
20.9	1.0208	0.959832	1.00714	0.979186
21	1.01974	0.958814	1.00671	0.97892
21.1	1.01847	0.958111	1.00622	0.978766
21.2	1.017	0.957728	1.00566	0.978725
21.3	1.01536	0.957671	1.00506	0.978797
21.4	1.01356	0.957939	1.0044	0.97898
21.5	1.01161	0.958531	1.0037	0.979273
21.6	1.00954	0.959439	1.00297	0.979672
21.7	1.00737	0.960656	1.00221	0.980172
21.8	1.00512	0.96217	1.00143	0.980768
21.9	1.00281	0.963965	1.00064	0.981454
22	1.00047	0.966026	0.999848	0.982223
22.1	0.998115	0.968333	0.999059	0.983067
22.2	0.995772	0.970864	0.998282	0.983977
22.3	0.993462	0.973597	0.997525	0.984944
22.4	0.991207	0.976506	0.996795	0.985959
22.5	0.989027	0.979566	0.996098	0.987011
22.6	0.986943	0.982747	0.995442	0.98809
22.7	0.984974	0.986022	0.994832	0.989187
22.8	0.983137	0.989361	0.994275	0.990289
22.9	0.981451	0.992733	0.993775	0.991387
23	0.979931	0.996109	0.993338	0.992469
23.1	0.97859	0.999456	0.992967	0.993525
23.2	0.977443	1.00274	0.992665	0.994546
23.3	0.976501	1.00594	0.992437	0.99552
23.4	0.975772	1.00902	0.992282	0.996439
23.5	0.975267	1.01195	0.992204	0.997294
23.6	0.974992	1.0147	0.992203	0.998075
23.7	0.97495	1.01724	0.992278	0.998777
23.8	0.975147	1.01955	0.992429	0.999391
23.9	0.975582	1.0216	0.992654	0.999912
24	0.976256	1.02337	0.992952	1.00033
24.1	0.977164	1.02483	0.99332	1.00065
24.2	0.978304	1.02598	0.993753	1.00087
24.3	0.979668	1.02678	0.994248	1.00097
24.4	0.981246	1.02724	0.9948	1.00097
24.5	0.983028	1.02733	0.995403	1.00086
24.6	0.985001	1.02705	0.996052	1.00063
24.7	0.987148	1.02641	0.99674	1.00031
24.8	0.989453	1.02539	0.997461	0.999877
24.9	0.991895	1.024	0.998207	0.999348
25	0.994452	1.02225	0.998971	0.998725
25.1	0.997101	1.02016	0.999744	0.998016
25.2	0.999816	1.01773	1.00052	0.997227
25.3	1.00257	1.015	1.00129	0.996366
25.4	1.00534	1.01198	1.00205	0.995442
25.5	1.00808	1.0087	1.00278	0.994465
25.6	1.01078	1.00519	1.00349	0.993444
25.7	1.0134	1.00149	1.00416	0.99239
25.8	1.01591	0.997639	1.00479	0.991315
25.9	1.01828	0.993675	1.00537	0.990228
26	1.02049	0.989641	1.00589	0.989141
26.1	1.0225	0.985579	1.00635	0.988066
26.2	1.0243	0.981536	1.00675	0.987013
26.3	1.02585	0.977554	1.00708	0.985993
26.4	1.02714	0.97368	1.00733	0.985016
26.5	1.02815	0.969956	1.00751	0.984093
26.6	1.02887	0.966423	1.00762	0.983232
26.7	1.02928	0.963121	1.00764	0.982442
26.8	1.02939	0.960086	1.00759	0.98173
26.9	1.02918	0.957351	1.00746	0.981105
27	1.02867	0.954946	1.00726	0.980571
27.1	1.02785	0.952897	1.00699	0.980133
27.2	1.02674	0.951226	1.00664	0.979797
27.3	1.02534	0.949948	1.00623	0.979563
27.4	1.02368	0.949078	1.00576	0.979436
27.5	1.02177	0.948622	1.00523	0.979414
27.6	1.01963	0.948585	1.00465	0.979498
27.7	1.01728	0.948967	1.00403	0.979687
27.8	1.01476	0.949761	1.00337	0.979978
27.9	1.01208	0.950961	1.00267	0.980368
28	1.00928	0.952553	1.00196	0.980853
28.1	1.00639	0.95452	1.00123	0.981427
28.2	1.00342	0.956845	1.00048	0.982084
28.3	1.00042	0.959504	0.999737	0.982818
28.4	0.997412	0.962473	0.998998	0.983621
28.5	0.994421	0.965723	0.99827	0.984485
28.6	0.991476	0.969225	0.997562	0.985402
28.7	0.988606	0.972948	0.996881	0.986361
28.8	0.985836	0.976858	0.996232	0.987355
28.9	0.98319	0.98092	0.995622	0.988372
29	0.980693	0.985098	0.995057	0.989404
29.1	0.978366	0.989355	0.994542	0.99044
29.2	0.976231	0.993654	0.994081	0.991469
29.3	0.974306	0.997956	0.99368	0.992483
29.4	0.972608	1.00222	0.993342	0.99347
29.5	0.971154	1.00642	0.99307	0.994423
29.6	0.969958	1.0105	0.992866	0.99533
29.7	0.969032	1.01443	0.992733	0.996184
29.8	0.968385	1.01817	0.992672	0.996976
29.9	0.968028	1.02169	0.992682	0.997698
30	0.967965	1.02495	0.992765	0.998344
30.1	0.968202	1.02792	0.992919	0.998906
30.2	0.96874	1.03056	0.993142	0.99938
30.3	0.96958	1.03284	0.993433	0.999761
30.4	0.970718	1.03475	0.993789	1.00004
30.5	0.97215	1.03624	0.994207	1.00023
30.6	0.973868	1.03731	0.994681	1.00031
30.7	0.975861	1.03793	0.995208	1.00029
30.8	0.978118	1.03809	0.995782	1.00016
30.9	0.980622	1.03777	0.996399	0.99994
31	0.983354	1.03698	0.997051	0.999615
31.1	0.986292	1.0357	0.997732	0.999195
31.2	0.989414	1.03395	0.998436	0.998683
31.3	0.99269	1.03174	0.999155	0.998085
31.4	0.996092	1.02907	0.999882	0.997406
31.5	0.999586	1.02596	1.00061	0.996653
31.6	1.00314	1.02245	1.00133	0.995835
31.7	1.00671	1.01856	1.00204	0.994959
31.8	1.01027	1.01433	1.00273	0.994034
31.9	1.01377	1.00981	1.00338	0.99307
32	1.01717	1.00503	1.00401	0.992077
32.1	1.02044	1.00004	1.00459	0.991065
32.2	1.02353	0.994907	1.00512	0.990044
32.3	1.02641	0.989679	1.0056	0.989026
32.4	1.02903	0.984415	1.00603	0.988019
32.5	1.03137	0.979175	1.00639	0.987035
32.6	1.03339	0.974018	1.00669	0.986084
32.7	1.03506	0.969004	1.00692	0.985175
32.8	1.03637	0.96419	1.00707	0.984317
32.9	1.03729	0.959629	1.00716	0.983519
33	1.03782	0.955375	1.00717	0.982789
33.1	1.03794	0.951475	1.00711	0.982133
33.2	1.03765	0.947972	1.00698	0.981559
33.3	1.03695	0.944902	1.00678	0.981072
33.4	1.03586	0.9423	1.00651	0.980676
33.5	1.03438	0.940191	1.00618	0.980376
33.6	1.03254	0.938596	1.00578	0.980172
33.7	1.03035	0.937529	1.00533	0.980068
33.8	1.02785	0.936998	1.00483	0.980064
33.9	1.02505	0.937007	1.00428	0.980158
34	1.022	0.937553	1.00368	0.980351
34.1	1.01873	0.938626	1.00306	0.98064
34.2	1.01527	0.940215	1.0024	0.98102
34.3	1.01165	0.942301	1.00173	0.981489
34.4	1.00793	0.944861	1.00104	0.982041
34.5	1.00413	0.947871	1.00034	0.982671
34.6	1.00028	0.9513	0.999641	0.983371
34.7	0.99644	0.955116	0.998947	0.984135
34.8	0.992629	0.959283	0.998266	0.984956
34.9	0.988885	0.963764	0.997605	0.985824
35	0.985243	0.968518	0.996969	0.986731
35.1	0.981733	0.973503	0.996365	0.987669
35.2	0.978386	0.978677	0.995798	0.988628
35.3	0.97523	0.983995	0.995274	0.989598
35.4	0.972292	0.989409	0.994798	0.990571
35.5	0.969597	0.994875	0.994375	0.991537
35.6	0.967167	1.00035	0.994007	0.992486
35.7	0.965024	1.00577	0.993699	0.993409
35.8	0.963186	1.01111	0.993454	0.994297
35.9	0.961671	1.0163	0.993274	0.995141
