#aktschritt 	 uEuler 	 vEuler 	 uRunge 	 vRunge
# a=0.1	 b=0.1	 u0=0.1	 v0=0.01
124	0.173822	2.42234	0.180881	2.4383
125	0.173506	2.43574	0.180426	2.44843
126	0.173416	2.44908	0.180156	2.45856
127	0.173534	2.46226	0.180061	2.46861
128	0.173841	2.47518	0.180129	2.4785
129	0.174321	2.48778	0.180347	2.48817
130	0.17496	2.49998	0.180706	2.49755
131	0.175743	2.51172	0.181195	2.5066
132	0.17666	2.52293	0.181803	2.51524
133	0.177699	2.53356	0.182523	2.52345
134	0.17885	2.54356	0.183345	2.53116
135	0.180106	2.55288	0.184262	2.53835
136	0.181458	2.56147	0.185264	2.54497
137	0.1829	2.5693	0.186345	2.55099
138	0.184425	2.57633	0.187498	2.55637
139	0.186026	2.58251	0.188716	2.56111
140	0.187698	2.58783	0.18999	2.56516
141	0.189434	2.59224	0.191316	2.56851
142	0.191229	2.59573	0.192684	2.57114
143	0.193076	2.59827	0.194088	2.57304
144	0.194967	2.59984	0.19552	2.57421
145	0.196896	2.60043	0.196973	2.57464
146	0.198855	2.60002	0.198436	2.57432
147	0.200834	2.59862	0.199902	2.57327
148	0.202824	2.59621	0.201361	2.5715
149	0.204813	2.59281	0.202802	2.56901
150	0.206789	2.58843	0.204215	2.56584
151	0.208737	2.58308	0.205589	2.56202
152	0.210642	2.57681	0.20691	2.55757
153	0.212488	2.56964	0.208168	2.55254
154	0.214255	2.56163	0.20935	2.54697
155	0.215924	2.55284	0.210441	2.54093
156	0.217472	2.54333	0.211431	2.53447
157	0.218878	2.53318	0.212305	2.52766
158	0.220119	2.5225	0.213052	2.52056
159	0.22117	2.51139	0.21366	2.51327
160	0.222009	2.49997	0.214121	2.50586
161	0.222613	2.48836	0.214425	2.49841
162	0.222964	2.4767	0.214567	2.49102
163	0.223044	2.46514	0.214541	2.48376
164	0.222841	2.45382	0.214347	2.47672
165	0.222347	2.4429	0.213987	2.46999
166	0.221559	2.43251	0.213464	2.46364
167	0.220484	2.42281	0.212787	2.45775
168	0.219132	2.41392	0.211964	2.45238
169	0.217523	2.40596	0.21101	2.44759
170	0.215682	2.39904	0.209939	2.44342
171	0.213641	2.39324	0.208769	2.43991
172	0.211437	2.38862	0.207519	2.43708
173	0.209111	2.38523	0.206208	2.43496
174	0.206705	2.38308	0.204856	2.43354
175	0.204264	2.38217	0.203484	2.43283
176	0.201828	2.38247	0.202112	2.4328
177	0.199439	2.38395	0.200756	2.43344
178	0.197131	2.38654	0.199436	2.43472
179	0.194937	2.39017	0.198165	2.43659
180	0.192882	2.39475	0.196958	2.43902
181	0.190987	2.40021	0.195826	2.44196
182	0.189269	2.40643	0.194779	2.44536
183	0.187737	2.41333	0.193824	2.44917
184	0.186397	2.4208	0.192966	2.45333
185	0.185253	2.42875	0.192211	2.4578
186	0.184302	2.43707	0.191559	2.46251
187	0.183541	2.44568	0.191013	2.46742
188	0.182965	2.45448	0.190572	2.47247
189	0.182566	2.4634	0.190235	2.47761
